date,hour,type,北京
20170110,21,PM2.5,69
20170110,22,PM2.5,68
20170110,23,PM2.5,67
20170111,0,PM2.5,63
20170111,1,PM2.5,64
20170111,2,PM2.5,63
20170111,3,PM2.5,64
20170111,4,PM2.5,64
20170111,5,PM2.5,60
20170111,6,PM2.5,53
20170111,7,PM2.5,45
20170111,8,PM2.5,43
20170111,9,PM2.5,46
20170111,10,PM2.5,56
20170111,11,PM2.5,64
20170111,12,PM2.5,61
20170111,13,PM2.5,63
20170111,14,PM2.5,43
20170111,15,PM2.5,39
20170111,16,PM2.5,61
20170111,17,PM2.5,69
20170111,18,PM2.5,71
20170111,19,PM2.5,71
20170111,20,PM2.5,65
20170111,21,PM2.5,53
20170111,22,PM2.5,32
20170111,23,PM2.5,21
20170112,0,PM2.5,23
20170112,1,PM2.5,21
20170112,2,PM2.5,19
20170112,3,PM2.5,19
20170112,4,PM2.5,19
20170112,5,PM2.5,20
20170112,6,PM2.5,20
20170112,7,PM2.5,20
20170112,8,PM2.5,20
20170112,9,PM2.5,20
20170112,10,PM2.5,22
20170112,11,PM2.5,22
20170112,12,PM2.5,30
20170112,13,PM2.5,49
20170112,14,PM2.5,56
20170112,15,PM2.5,60
20170112,16,PM2.5,70
20170112,17,PM2.5,77
20170112,18,PM2.5,85
20170112,19,PM2.5,98
20170112,20,PM2.5,103
20170112,21,PM2.5,48
20170112,22,PM2.5,9
20170112,23,PM2.5,8
20170113,0,PM2.5,7
20170113,1,PM2.5,7
20170113,2,PM2.5,6
20170113,3,PM2.5,6
20170113,4,PM2.5,4
20170113,5,PM2.5,4
20170113,6,PM2.5,6
20170113,7,PM2.5,7
20170113,8,PM2.5,8
20170113,9,PM2.5,9
20170113,10,PM2.5,10
20170113,11,PM2.5,10
20170113,12,PM2.5,8
20170113,13,PM2.5,8
20170113,14,PM2.5,7
20170113,15,PM2.5,7
20170113,16,PM2.5,6
20170113,17,PM2.5,6
20170113,18,PM2.5,7
20170113,19,PM2.5,8
20170113,20,PM2.5,10
20170113,22,PM2.5,11
20170113,23,PM2.5,11
20170114,0,PM2.5,11
20170114,1,PM2.5,12
20170114,2,PM2.5,10
20170114,3,PM2.5,10
20170114,4,PM2.5,9
20170114,5,PM2.5,9
20170114,6,PM2.5,9
20170114,7,PM2.5,10
20170114,8,PM2.5,12
20170114,9,PM2.5,14
20170114,10,PM2.5,17
20170114,11,PM2.5,17
20170114,12,PM2.5,12
20170114,13,PM2.5,11
20170114,14,PM2.5,13
20170114,15,PM2.5,11
20170114,16,PM2.5,13
20170114,17,PM2.5,16
20170114,18,PM2.5,22
20170114,19,PM2.5,32
20170114,20,PM2.5,42
20170114,21,PM2.5,47
20170114,22,PM2.5,42
20170114,23,PM2.5,38
20170115,0,PM2.5,37
20170115,1,PM2.5,38
20170115,2,PM2.5,39
20170115,3,PM2.5,36
20170115,4,PM2.5,35
20170115,5,PM2.5,34
20170115,6,PM2.5,31
20170115,7,PM2.5,33
20170115,8,PM2.5,32
20170115,9,PM2.5,34
20170115,10,PM2.5,39
20170115,11,PM2.5,41
20170115,12,PM2.5,45
20170115,13,PM2.5,48
20170115,14,PM2.5,54
20170115,15,PM2.5,59
20170115,16,PM2.5,65
20170115,17,PM2.5,67
20170115,18,PM2.5,72
20170115,19,PM2.5,75
20170115,20,PM2.5,77
20170115,21,PM2.5,80
20170115,22,PM2.5,81
20170115,23,PM2.5,87
20170116,0,PM2.5,90
20170116,1,PM2.5,89
20170116,2,PM2.5,91
20170116,3,PM2.5,89
20170116,4,PM2.5,88
20170116,5,PM2.5,89
20170116,6,PM2.5,88
20170116,7,PM2.5,84
20170116,8,PM2.5,85
20170116,9,PM2.5,80
20170116,10,PM2.5,72
20170116,11,PM2.5,67
20170116,12,PM2.5,67
20170116,13,PM2.5,79
20170116,14,PM2.5,90
20170116,15,PM2.5,90
20170116,16,PM2.5,89
20170116,17,PM2.5,105
20170116,18,PM2.5,113
20170116,19,PM2.5,108
20170116,20,PM2.5,118
20170116,21,PM2.5,121
20170116,22,PM2.5,120
20170116,23,PM2.5,118
20170117,0,PM2.5,118
20170117,1,PM2.5,120
20170117,2,PM2.5,124
20170117,3,PM2.5,123
20170117,4,PM2.5,123
20170117,5,PM2.5,123
20170117,6,PM2.5,119
20170117,7,PM2.5,118
20170117,8,PM2.5,123
20170117,9,PM2.5,130
20170117,10,PM2.5,135
20170117,11,PM2.5,115
20170117,12,PM2.5,134
20170117,13,PM2.5,145
20170117,14,PM2.5,143
20170117,15,PM2.5,114
20170117,16,PM2.5,132
20170117,17,PM2.5,151
20170117,18,PM2.5,158
20170117,19,PM2.5,163
20170117,20,PM2.5,163
20170117,21,PM2.5,149
20170117,22,PM2.5,138
20170117,23,PM2.5,130
20170118,0,PM2.5,92
20170118,1,PM2.5,50
20170118,2,PM2.5,39
20170118,3,PM2.5,35
20170118,4,PM2.5,27
20170118,5,PM2.5,25
20170118,6,PM2.5,24
20170118,7,PM2.5,22
20170118,8,PM2.5,21
20170118,9,PM2.5,22
20170118,10,PM2.5,22
20170118,11,PM2.5,23
20170118,12,PM2.5,22
20170118,13,PM2.5,23
20170118,14,PM2.5,22
20170118,15,PM2.5,30
20170118,16,PM2.5,46
20170118,17,PM2.5,49
20170118,18,PM2.5,42
20170118,19,PM2.5,43
20170118,20,PM2.5,48
20170118,21,PM2.5,52
20170118,22,PM2.5,58
20170118,23,PM2.5,61
20170119,0,PM2.5,73
20170119,1,PM2.5,85
20170119,2,PM2.5,91
20170119,3,PM2.5,92
20170119,4,PM2.5,99
20170119,5,PM2.5,104
20170119,6,PM2.5,101
20170119,7,PM2.5,101
20170119,8,PM2.5,98
20170119,9,PM2.5,84
20170119,10,PM2.5,48
20170119,11,PM2.5,16
20170119,12,PM2.5,11
20170119,13,PM2.5,10
20170119,14,PM2.5,8
20170119,15,PM2.5,8
20170119,16,PM2.5,9
20170119,17,PM2.5,9
20170119,18,PM2.5,9
20170119,19,PM2.5,9
20170119,20,PM2.5,8
20170119,21,PM2.5,8
20170119,22,PM2.5,7
20170119,23,PM2.5,6
20170120,0,PM2.5,7
20170120,1,PM2.5,9
20170120,2,PM2.5,7
20170120,3,PM2.5,7
20170120,4,PM2.5,6
